icao_code,iata_code,name,city,country,lat_decimal,lon_decimal,altitude
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,-6.082,145.392,1610
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,-5.207,145.789,7
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,-5.826,144.296,1643
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,-6.57,146.726,73
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,-9.443,147.22,45
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,-3.584,143.669,6
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61.161,-45.427,35
BGCO,N/A,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70.739,-22.646,14
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,64.191,-51.678,87
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,69.233,-51.067,34
BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,65.583,-37.15,34
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,67.017,-50.689,51
BGTL,THU,THULE AIR BASE,THULE,GREENLAND,76.531,-68.703,77
BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,65.66,-18.072,2
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,ICELAND,65.283,-14.401,24
BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,64.296,-15.227,8
BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,65.952,-17.426,14
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,66.058,-23.135,3
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,63.985,-22.606,53
BIKP,OPA,KOPASKER,KOPASKER,ICELAND,66.314,-16.461,7
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,65.556,-23.965,4
BIRK,RKV,REYKJAVIK,REYKJAVIK,ICELAND,64.13,-21.941,15
BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,66.133,-18.917,4
BIVM,VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,63.424,-20.279,100
CYAM,YAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,46.485,-84.509,193
CYAV,YAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,50.056,-97.032,232
CYAW,YAW,SHEARWATER,HALIFAX,CANADA,44.64,-63.499,51
CYAY,YAY,ST ANTHONY,ST. ANTHONY,CANADA,51.392,-56.084,29
CYAZ,YAZ,TOFINO,TOFINO,CANADA,49.082,-125.772,25
CYBB,YBB,KUGAARUK,PELLY BAY,CANADA,68.534,-89.808,18
CYBC,YBC,BAIE COMEAU,BAIE COMEAU,CANADA,49.132,-68.207,22
CYBG,YBG,BAGOTVILLE,BAGOTVILLE,CANADA,48.331,-70.996,160
CYBK,YBK,BAKER LAKE,BAKER LAKE,CANADA,64.299,-96.078,18
CYBL,YBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,49.951,-125.271,106
CYBR,YBR,BRANDON MUNI,BRANDON,CANADA,49.91,-99.952,410
CYCB,YCB,CAMBRIDGE BAY,CAMBRIDGE BAY,CANADA,69.108,-105.138,28
CYCD,YCD,NANAIMO,NANAIMO,CANADA,49.052,-123.87,29
CYCG,YCG,CASTLEGAR,CASTLEGAR,CANADA,49.296,-117.632,495
CYCH,YCH,MIRAMICHI,CHATHAM,CANADA,47.008,-65.449,33
CYCL,YCL,CHARLO,CHARLO,CANADA,47.991,-66.331,41
CYCO,YCO,KUGLUKTUK,COPPERMINE,CANADA,67.817,-115.144,23
CYCT,YCT,CORONATION,CORONATION,CANADA,52.075,-111.445,791
CYCW,YCW,CHILLIWACK,CHILLIWACK,CANADA,49.153,-121.939,10
CYCY,YCY,CLYDE RIVER,CLYDE RIVER,CANADA,70.486,-68.517,27
CYCZ,YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,CANADA,50.332,-115.874,811
CYDA,YDA,DAWSON,DAWSON,CANADA,64.043,-139.128,371
CYDB,YDB,BURWASH,BURWASH,CANADA,61.371,-139.041,807
CYDC,YDC,PRINCETON,PRINCETON,CANADA,49.468,-120.512,701
CYDF,YDF,DEER LAKE,DEER LAKE,CANADA,49.211,-57.391,22
CYDL,YDL,DEASE LAKE,DEASE LAKE,CANADA,58.422,-130.032,793
CYDN,YDN,DAUPHIN BARKER,DAUPHIN,CANADA,51.101,-100.052,305
CYDQ,YDQ,DAWSON CREEK,DAWSON CREEK,CANADA,55.742,-120.182,655
CYED,YED,EDMONTON NAMAO,EDMONTON,CANADA,53.667,-113.467,0
CYEG,YEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,53.31,-113.58,724
CYEK,YEK,ARVIAT,ESKIMO POINT,CANADA,61.094,-94.071,10
CYEN,YEN,ESTEVAN,ESTEVAN,CANADA,49.21,-102.966,581
CYET,YET,EDSON,EDSON,CANADA,53.579,-116.465,927
CYEU,YEU,EUREKA,EUREKA,CANADA,79.995,-85.813,79
CYEV,YEV,INUVIK MIKE ZUBKO,INUVIK,CANADA,68.304,-133.483,69
CYFB,YFB,IQALUIT,IQALUIT,CANADA,63.756,-68.556,34
CYFC,YFC,FREDERICTON,FREDERICTON,CANADA,45.869,-66.532,21
CYFE,N/A,FORESTVILLE,FORESTVILLE,CANADA,48.746,-69.097,9
CYFO,YFO,FLIN FLON,FLIN FLON,CANADA,54.678,-101.682,304
CYFR,YFR,FORT RESOLUTION,FORT RESOLUTION,CANADA,61.181,-113.69,161
CYFS,YFS,FORT SIMPSON,FORT SIMPSON,CANADA,61.76,-121.237,170
CYGK,YGK,KINGSTON,KINGSTON,CANADA,44.225,-76.597,93
CYGL,YGL,LA GRANDE RIVIERE,LA GRANDE RIVIERE,CANADA,53.625,-77.704,195
CYGP,YGP,GASPE,GASPE,CANADA,48.775,-64.479,33
CYGQ,YGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,CANADA,49.778,-86.939,349
CYGR,YGR,ILES DE LA MADELEINE,ILES DE LA MADELEINE,CANADA,47.425,-61.778,11
CYGW,YGW,KUUJJUARAPIK,KUUJJUARARAPIK,CANADA,55.283,-77.767,20
CYGX,YGX,GILLAM,GILLAM,CANADA,56.35,-94.7,144
CYHB,YHB,HUDSON BAY,HUDSON BAY,CANADA,52.817,-102.311,359
CYHD,YHD,DRYDEN RGNL,DRYDEN,CANADA,49.832,-92.744,413
CYHI,YHI,HOLMAN,HOLMAN ISLAND,CANADA,70.763,-117.806,36
CYHK,YHK,GJOA HAVEN,GJOA HAVEN,CANADA,68.636,-95.85,47
CYHM,YHM,HAMILTON,HAMILTON,CANADA,43.173,-79.935,238
CYHU,YHU,ST HUBERT,MONTREAL,CANADA,45.517,-73.417,28
CYHY,YHY,HAY RIVER,HAY RIVER,CANADA,60.84,-115.783,166
CYHZ,YHZ,HALIFAX INTERNATIONAL,HALIFAX,CANADA,44.881,-63.509,146
CYIB,YIB,ATIKOKAN MUNI,ATIKOKAN,CANADA,48.774,-91.639,430
CYIO,YIO,POND INLET,POND INLET,CANADA,72.683,-77.967,56
CYJN,YJN,ST JEAN,ST. JEAN,CANADA,45.294,-73.281,42
CYJT,YJT,STEPHENVILLE,STEPHENVILLE,CANADA,48.544,-58.55,26
CYKA,YKA,KAMLOOPS,KAMLOOPS,CANADA,50.702,-120.442,346
CYKF,YKF,WATERLOO RGNL,WATERLOO,CANADA,43.459,-80.384,317
CYKL,YKL,SCHEFFERVILLE,SCHEFFERVILLE,CANADA,54.805,-66.805,521
CYKY,YKY,KINDERSLEY,KINDERSLEY,CANADA,51.517,-109.181,695
CYKZ,YKZ,BUTTONVILLE MUNI,TORONTO,CANADA,43.862,-79.37,199
CYLD,YLD,CHAPLEAU,CHAPLEAU,CANADA,47.82,-83.346,447
CYLJ,YLJ,MEADOW LAKE,MEADOW LAKE,CANADA,54.125,-108.523,481
CYLL,YLL,LLOYDMINSTER,LLOYDMINSTER,CANADA,53.309,-110.072,669
CYLT,YLT,ALERT,ALERT,CANADA,82.518,-62.281,31
CYLW,YLW,KELOWNA,KELOWNA,CANADA,49.956,-119.378,430
CYMA,YMA,MAYO,MAYO,CANADA,63.617,-135.867,504
CYMJ,YMJ,MOOSE JAW,MOOSE JAW,CANADA,50.33,-105.559,577
CYMM,YMM,FORT MCMURRAY,FORT MCMURRAY,CANADA,56.653,-111.222,370
CYMO,YMO,MOOSONEE,MOOSONEE,CANADA,51.291,-80.608,10
CYMW,YMW,MANIWAKI,MANIWAKI,CANADA,46.274,-75.99,201
CYMX,YMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,CANADA,45.68,-74.039,83
CYNA,YNA,NATASHQUAN,NATASHQUAN,CANADA,50.19,-61.789,11
CYND,YND,GATINEAU,GATINEAU,CANADA,45.521,-75.564,65
CYNM,YNM,MATAGAMI,MATAGAMI,CANADA,49.762,-77.803,280
CYOC,YOC,OLD CROW,OLD CROW,CANADA,67.571,-139.839,252
CYOD,YOD,COLD LAKE,COLD LAKE,CANADA,54.405,-110.279,542
CYOJ,YOJ,HIGH LEVEL,HIGH LEVEL,CANADA,58.621,-117.165,339
CYOW,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,45.323,-75.669,114
CYPA,YPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,CANADA,53.214,-105.673,429
CYPE,YPE,PEACE RIVER,PEACE RIVER,CANADA,56.227,-117.447,571
CYPG,YPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,CANADA,49.903,-98.275,270
CYPK,N/A,PITT MEADOWS,PITT MEADOWS,CANADA,49.216,-122.71,4
CYPL,YPL,PICKLE LAKE,PICKLE LAKE,CANADA,51.446,-90.214,387
CYPN,YPN,PORT MENIER,PORT MENIER,CANADA,49.836,-64.289,51
CYPQ,YPQ,PETERBOROUGH,PETERBOROUGH,CANADA,44.23,-78.363,192
CYPR,YPR,PRINCE RUPERT,PRINCE PUPERT,CANADA,54.286,-130.445,36
CYPY,YPY,FORT CHIPEWYAN,FORT CHIPEWYAN,CANADA,58.767,-111.117,232
CYQA,YQA,MUSKOKA,MUSKOKA,CANADA,44.975,-79.303,282
CYQB,YQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,CANADA,46.788,-71.398,75
CYQF,YQF,RED DEER REGIONAL,RED DEER INDUSTRIAL,CANADA,52.179,-113.893,905
CYQG,YQG,WINDSOR,WINDSOR,CANADA,42.276,-82.956,190
CYQH,YQH,WATSON LAKE,WATSON LAKE,CANADA,60.118,-128.822,688
CYQK,YQK,KENORA,KENORA,CANADA,49.788,-94.363,406
CYQL,YQL,LETHBRIDGE,LETHBRIDGE,CANADA,49.63,-112.8,929
CYQM,YQM,GREATER MONCTON INTERNATIONAL,MONCTON,CANADA,46.112,-64.679,71
CYQN,N/A,NAKINA,NAKINA,CANADA,50.183,-86.696,323
CYQQ,YQQ,COMOX,COMOX,CANADA,49.711,-124.887,26
CYQR,YQR,REGINA INTERNATIONAL,REGINA,CANADA,50.432,-104.666,578
CYQT,YQT,THUNDER BAY,THUNDER BAY,CANADA,48.372,-89.324,200
CYQU,YQU,GRANDE PRAIRIE,GRANDE PRAIRIE,CANADA,55.18,-118.885,670
CYQV,YQV,YORKTON MUNI,YORKTON,CANADA,51.265,-102.462,499
CYQW,YQW,NORTH BATTLEFORD,NORTH BATTLEFORD,CANADA,52.769,-108.244,549
CYQX,YQX,GANDER INTERNATIONAL,GANDER,CANADA,48.937,-54.568,152
CYQY,YQY,SYDNEY,SYDNEY,CANADA,46.161,-60.048,62
CYQZ,YQZ,QUESNEL,QUESNEL,CANADA,53.026,-122.51,546
CYRB,YRB,RESOLUTE BAY,RESOLUTE,CANADA,74.717,-94.969,66
CYRI,YRI,RIVIERE DU LOUP,RIVIERE DU LOUP,CANADA,47.764,-69.585,131
CYRJ,YRJ,ROBERVAL,ROBERVAL,CANADA,48.52,-72.266,179
CYRM,YRM,ROCKY MOUNTAIN HOUSE,ROCKY MOUNTAIN HOUSE,CANADA,52.43,-114.904,989
CYRT,YRT,RANKIN INLET,RANKIN INLET,CANADA,62.811,-92.116,29
CYSB,YSB,SUDBURY,SUDBURY,CANADA,46.625,-80.799,348
CYSC,YSC,SHERBROOKE,SHERBROOKE,CANADA,45.438,-71.691,242
CYSJ,YSJ,SAINT JOHN,ST. JOHN,CANADA,45.316,-65.89,109
CYSM,YSM,FORT SMITH,FORT SMITH,CANADA,60.022,-111.96,206
CYSR,YSR,NANISIVIK,NANISIVIK,CANADA,72.982,-84.614,642
CYSU,YSU,SUMMERSIDE,SUMMERSIDE,CANADA,46.443,-63.831,18
CYSY,YSY,SACHS HARBOUR,SACHS HARBOUR,CANADA,71.994,-125.243,86
CYTE,YTE,CAPE DORSET,CAPE DORSET,CANADA,64.23,-76.527,50
CYTH,YTH,THOMPSON,THOMPSON,CANADA,55.801,-97.864,223
CYTR,YTR,TRENTON,TRENTON,CANADA,44.119,-77.528,87
CYTS,YTS,TIMMINS,TIMMINS,CANADA,48.57,-81.377,295
CYTZ,YTZ,CITY CENTRE,TORONTO,CANADA,43.627,-79.396,77
CYUB,YUB,TUKTOYAKTUK,TUKTOYAKTUK,CANADA,69.433,-133.026,5
CYUL,YUL,MONTREAL INTERNATIONAL DORVAL,MONTREAL,CANADA,45.468,-73.741,36
CYUT,YUT,REPULSE BAY,REPULSE BAY,CANADA,66.521,-86.225,25
CYUX,YUX,HALL BEACH,HALL BEACH,CANADA,68.776,-81.244,9
CYUY,YUY,ROUYN NORANDA,ROUYN,CANADA,48.206,-78.836,302
CYVC,YVC,LA RONGE,LA RONGE,CANADA,55.151,-105.262,379
CYVG,YVG,VERMILION,VERMILLION,CANADA,53.356,-110.824,618
CYVM,YVM,QIKIQTARJUAQ,BROUGHTON ISLAND,CANADA,67.546,-64.031,7
CYVO,YVO,VAL D OR,VAL D'OR,CANADA,48.053,-77.783,338
CYVP,YVP,KUUJJUAQ,QUUJJUAQ,CANADA,58.096,-68.427,40
CYVQ,YVQ,NORMAN WELLS,NORMAN WELLS,CANADA,65.282,-126.8,74
CYVR,YVR,VANCOUVER INTERNATIONAL,VANCOUVER,CANADA,49.195,-123.182,5
CYVT,YVT,BUFFALO NARROWS,BUFFALO NARROWS,CANADA,55.842,-108.418,441
CYVV,YVV,WIARTON,WIARTON,CANADA,44.746,-81.107,223
CYWA,YWA,PETAWAWA,PETAWAWA,CANADA,45.952,-77.319,131
CYWG,YWG,WINNIPEG INTERNATIONAL,WINNIPEG,CANADA,49.91,-97.234,239
CYWK,YWK,WABUSH,WABUSH,CANADA,52.922,-66.864,552
CYWL,YWL,WILLIAMS LAKE,WILLIAMS LAKE,CANADA,52.183,-122.054,941
CYWY,YWY,WRIGLEY,WRIGLEY,CANADA,63.209,-123.437,151
CYXC,YXC,CRANBROOK,CRANBROOK,CANADA,49.61,-115.782,940
CYXD,YXD,EDMONTON CITY CENTRE,EDMONTON,CANADA,53.573,-113.521,671
CYXE,YXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,SASKATOON,CANADA,52.171,-106.7,504
CYXH,YXH,MEDICINE HAT,MEDICINE HAT,CANADA,50.019,-110.721,717
CYXJ,YXJ,FORT ST JOHN,FORT SAINT JOHN,CANADA,56.238,-120.74,695
CYXL,YXL,SIOUX LOOKOUT,SIOUX LOOKOUT,CANADA,50.114,-91.904,391
CYXP,YXP,PANGNIRTUNG,PANGNIRTUNG,CANADA,66.145,-65.714,23
CYXR,YXR,TIMISKAMING RGNL,EARLTON,CANADA,47.695,-79.849,244
CYXS,YXS,PRINCE GEORGE,PRINCE GEORGE,CANADA,53.889,-122.679,691
CYXT,YXT,TERRACE,TERRACE,CANADA,54.466,-128.577,218
CYXU,YXU,LONDON,LONDON,CANADA,43.036,-81.154,278
CYXX,YXX,ABBOTSFORD,ABBOTSFORD,CANADA,49.025,-122.363,58
CYXY,YXY,WHITEHORSE INTERNATIONAL,WHITEHORSE,CANADA,60.709,-135.068,707
CYYB,YYB,NORTH BAY,NORTH BAY,CANADA,46.364,-79.423,371
CYYC,YYC,CALGARY INTERNATIONAL,CALGARY,CANADA,51.114,-114.02,1085
CYYD,YYD,SMITHERS,SMITHERS,CANADA,54.825,-127.183,522
CYYE,YYE,FORT NELSON,FORT NELSON,CANADA,58.836,-122.597,382
CYYF,YYF,PENTICTON,PENTICTON,CANADA,49.463,-119.602,345
CYYG,YYG,CHARLOTTETOWN,CHARLOTTETOWN,CANADA,46.29,-63.121,49
CYYH,YYH,TALOYOAK,SPENCE BAY,CANADA,69.547,-93.577,29
CYYJ,YYJ,VICTORIA INTERNATIONAL,VICTORIA,CANADA,48.647,-123.426,20
CYYL,YYL,LYNN LAKE,LYNN LAKE,CANADA,56.864,-101.076,357
CYYN,YYN,SWIFT CURRENT,SWIFT CURRENT,CANADA,50.292,-107.691,817
CYYQ,YYQ,CHURCHILL,CHURCHILL,CANADA,58.739,-94.065,29
CYYR,YYR,GOOSE BAY,GOOSE BAY,CANADA,53.319,-60.426,49
CYYT,YYT,ST JOHNS INTERNATIONAL,ST. JOHN'S,CANADA,47.619,-52.752,141
CYYU,YYU,KAPUSKASING,KAPUSKASING,CANADA,49.414,-82.468,227
CYYW,YYW,ARMSTRONG,ARMSTRONG,CANADA,50.29,-88.91,323
CYYY,YYY,MONT JOLI,MONT JOLI,CANADA,48.609,-68.208,53
CYYZ,YYZ,LESTER B PEARSON INTERNATIONAL,TORONTO,CANADA,43.677,-79.631,174
CYZD,YZD,DOWNSVIEW,TORONTO,CANADA,43.742,-79.466,199
CYZE,YZE,GORE BAY MANITOULIN,GORE BAY,CANADA,45.885,-82.568,194
CYZF,YZF,YELLOWKNIFE,YELLOWKNIFE,CANADA,62.463,-114.44,206
CYZH,YZH,SLAVE LAKE,SLAVE LAKE,CANADA,55.293,-114.778,583
CYZP,YZP,SANDSPIT,SANDSPIT,CANADA,53.254,-131.814,7
CYZR,YZR,CHRIS HADFIELD,SARNIA,CANADA,42.999,-82.309,182
CYZT,YZT,PORT HARDY,PORT HARDY,CANADA,50.681,-127.367,22
CYZU,YZU,WHITECOURT,WHITECOURT,CANADA,54.144,-115.787,783
CYZV,YZV,SEPT ILES,SEPT-ILES,CANADA,50.223,-66.266,55
CYZW,YZW,TESLIN,TESLIN,CANADA,60.173,-132.743,706
CYZX,YZX,GREENWOOD,GREENWOOD,CANADA,44.984,-64.917,29
CZFA,ZFA,FARO,FARO,CANADA,62.208,-133.376,717
CZFM,ZFM,FORT MCPHERSON,FORT MCPHERSON,CANADA,67.408,-134.86,44
DAAB,N/A,BLIDA,BLIDA,ALGERIA,36.504,2.814,164
DAAD,N/A,BOU SAADA,BOU SAADA,ALGERIA,35.333,4.206,460
DAAE,BJA,SOUMMAM,BEJAJA,ALGERIA,36.712,5.07,7
DAAG,ALG,HOUARI BOUMEDIENE,ALGIER,ALGERIA,36.691,3.215,25
DAAJ,DJG,TISKA,DJANET,ALGERIA,24.293,9.452,969
DAAK,N/A,BOUFARIK,BOUFARIK,ALGERIA,36.546,2.876,103
DAAM,N/A,TELERGHMA,TELERGMA,ALGERIA,36.109,6.364,758
DAAN,N/A,REGGANE,REGGAN,ALGERIA,26.71,0.286,292
DAAP,VVZ,ILLIZI,ILLIZI,ALGERIA,26.573,8.484,542
DAAQ,N/A,AIN OUSSERA,AIN OUSSERA,ALGERIA,35.525,2.879,650
DAAS,GSF,SETIF AIN ARNAT,SETIF,ALGERIA,36.178,5.324,1025
DAAT,TMR,TAMANRASSET,TAMANRASSET,ALGERIA,22.811,5.451,1378
DAAV,GJL,JIJEL,JIJEL,ALGERIA,36.795,5.873,11
DAAY,N/A,MECHERIA,MECHERIA,ALGERIA,33.536,-0.242,1176
DAAZ,N/A,RELIZANE,RELIZANE,ALGERIA,35.752,0.626,86
DABB,AAE,ANNABA,ANNABA,ALGERIA,36.822,7.809,5
DABC,CZL,MOHAMED BOUDIAF INTERNATIONAL,CONSTANTINE,ALGERIA,36.277,6.624,691
DABS,TEE,CHEIKH LARBI TEBESSI,TEBESSA,ALGERIA,35.431,8.121,812
DAFH,HRM,HASSI R MEL,TILREMPT,ALGERIA,32.93,3.312,775
DAOB,TID,BOU CHEKIF,TIARET,ALGERIA,35.341,1.463,990
DAOE,N/A,BOU SFER,BOU SFER,ALGERIA,35.735,-0.805,57
DAOF,TIN,TINDOUF,TINDOUF,ALGERIA,27.7,-8.167,443
DAOI,QAS,ECH CHELIFF,ECH-CHELIFF,ALGERIA,36.213,1.332,142
DAOL,TAF,TAFARAOUI,ORAN,ALGERIA,35.542,-0.532,112
DAON,TLM,ZENATA,TLEMCEN,ALGERIA,35.017,-1.45,249
DAOO,ORN,ES SENIA,ORAN,ALGERIA,35.624,-0.621,90
DAOS,N/A,SIDI BEL ABBES,SIDI BEL ABBES,ALGERIA,35.172,-0.593,492
DAOV,MUW,GHRISS,GHRISS,ALGERIA,35.208,0.147,514
DAUA,AZR,TOUAT CHEIKH SIDI MOHAMED BELKEBIR,ADRAR,ALGERIA,27.837,-0.186,281
DAUB,BSK,BISKRA,BISKRA,ALGERIA,34.793,5.738,89
DAUE,ELG,EL GOLEA,EL GOLEA,ALGERIA,30.571,2.859,399
DAUG,GHA,NOUMERATE,GHARDAIA,ALGERIA,32.384,3.794,461
DAUH,HME,OUED IRARA,HASSI-MESSAOUD,ALGERIA,31.673,6.14,142
DAUI,INZ,IN SALAH,IN SALAH,ALGERIA,27.251,2.512,270
DAUK,TGR,SIDI MAHDI,TOUGGOURT,ALGERIA,33.068,6.089,86
DAUL,LOO,LAGHOUAT,LAGHOUAT,ALGERIA,33.764,2.927,766
DAUT,TMX,TIMIMOUN,TIMIMOUN,ALGERIA,29.237,0.276,314
DAUU,OGX,OUARGLA,OUARGLA,ALGERIA,31.917,5.413,150
DAUZ,IAM,IN AMENAS,ZARZAITINE,ALGERIA,28.051,9.643,563
DBBB,COO,COTONOU CADJEHOUN,COTONOU,BENIN,6.357,2.384,6
DBBP,PKO,PARAKOU,PARAKOU,BENIN,9.357,2.609,386
DFFD,OUA,OUAGADOUGOU,OUAGADOUGOU,BURKINA FASO,12.353,-1.512,317
DFOO,BOY,BOBO DIOULASSO,BOBO-DIOULASSO,BURKINA FASO,11.16,-4.331,461
DGAA,ACC,KOTOKA INTERNATIONAL,ACCRA,GHANA,5.603,-0.168,63
DGLE,TML,TAMALE,TAMALE,GHANA,9.563,-0.863,169
DGLW,N/A,WA,WA,GHANA,10.082,-2.507,324
DGSN,NYI,SUNYANI,SUNYANI,GHANA,7.362,-2.329,310
DGTK,TKD,TAKORADI,TAKORADI,GHANA,4.893,-1.775,7
DIAP,ABJ,ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL,ABIDJAN,IVORY COAST,5.26,-3.926,7
DIBK,BYK,BOUAKE,BOUAKE,IVORY COAST,7.739,-5.074,375
DIDL,DJO,DALOA,DALOA,IVORY COAST,6.792,-6.473,251
DIKO,HGO,KORHOGO,KORHOGO,IVORY COAST,9.387,-5.556,370
DIMN,MJC,MAN,MAN,IVORY COAST,7.272,-7.587,332
DISP,SPY,SAN PEDRO,SAN PEDRO,IVORY COAST,4.747,-6.661,8
DIYO,ASK,YAMOUSSOUKRO,YAMOUSSOUKRO,IVORY COAST,6.903,-5.366,214
DNAA,ABV,ABUJA NNAMDI AZIKIWE INTERNATIONAL,ABUJA,NIGERIA,9.007,7.263,343
DNAK,AKR,AKURE,AKURE,NIGERIA,7.247,5.301,336
DNBE,BNI,BENIN,BENIN,NIGERIA,6.317,5.599,79
DNCA,CBQ,CALABAR,CALABAR,NIGERIA,4.976,8.347,65
DNEN,ENU,ENUGU,ENUGU,NIGERIA,6.474,7.562,143
DNGU,QUS,GUSAU,GUSAU,NIGERIA,12.172,6.696,464
DNIB,IBA,IBADAN,IBADAN,NIGERIA,7.362,3.978,221
DNIL,ILR,ILORIN,ILORIN,NIGERIA,8.44,4.494,343
DNJO,JOS,JOS,JOS,NIGERIA,9.64,8.869,1290
DNKA,KAD,KADUNA,KADUNA,NIGERIA,10.696,7.32,632
DNKN,KAN,KANO MALLAM AMINU INTERNATIONAL,KANO,NIGERIA,12.047,8.524,478
DNMA,MIU,MAIDUGURI,MAIDUGURI,NIGERIA,11.855,13.081,336
DNMK,MDI,MAKURDI,MAKURDI,NIGERIA,7.704,8.614,114
DNMM,LOS,LAGOS MURTALA MUHAMMED,LAGOS,NIGERIA,6.577,3.321,42
DNMN,MXJ,MINNA NEW,MINNA,NIGERIA,9.652,6.462,255
DNPO,PHC,PORT HARCOURT INTERNATIONAL,PORT HARTCOURT,NIGERIA,5.015,6.949,25
DNSO,SKO,SADIQ ABUBAKAR III INTERNATIONAL,SOKOTO,NIGERIA,12.916,5.207,307
DNYO,YOL,YOLA,YOLA,NIGERIA,9.26,12.43,183
DNZA,ZAR,ZARIA,ZARIA,NIGERIA,11.13,7.686,656
DRRM,MFG,MARADI,MARADI,NIGER,13.502,7.127,378
DRRN,NIM,DIORI HAMANI,NIAMEY,NIGER,13.481,2.184,224
DRRT,THZ,TAHOUA,TAHOUA,NIGER,14.876,5.265,386
DRZA,AJY,MANU DAYAK,AGADEZ,NIGER,16.965,7.997,506
DRZD,N/A,DIRKOU,DIRKOU,NIGER,18.969,12.869,389
DRZF,N/A,DIFFA,DIFFA,NIGER,13.373,12.627,303
DRZR,ZND,ZINDER,ZINDER,NIGER,13.779,8.984,460
DRZT,N/A,TANOUT,TANOUT,NIGER,14.999,8.767,537
DTMB,MIR,HABIB BOURGUIBA INTERNATIONAL,MONASTIR,TUNISIA,35.758,10.755,3
DTTA,TUN,CARTHAGE,TUNIS,TUNISIA,36.851,10.227,7
DTTB,N/A,SIDI AHMED AIR BASE,BIZERTE,TUNISIA,37.245,9.791,7
DTTD,N/A,REMADA,REMADA,TUNISIA,32.306,10.382,307
DTTF,GAF,GAFSA,GAFSA,TUNISIA,34.422,8.822,324
DTTG,GAE,GABES,GABES,TUNISIA,33.877,10.103,8
DTTI,N/A,BORDJ EL AMRI,BORDJ EL AMRI,TUNISIA,36.721,9.943,34
DTTJ,DJE,ZARZIS,DJERBA,TUNISIA,33.875,10.775,6
DTTR,EBM,EL BORMA,EL BORMA,TUNISIA,31.704,9.254,253
DTTX,SFA,THYNA,SFAX,TUNISIA,34.718,10.691,26
DTTZ,TOE,NEFTA,TOZEUR,TUNISIA,33.94,8.111,88
DXNG,LRL,NIAMTOUGOU,NIATOUGOU,TOGO,9.767,1.091,462
DXXX,LFW,LOME TOKOIN,LOME,TOGO,6.166,1.254,22
EBAW,ANR,DEURNE,ANTWERP,BELGIUM,51.19,4.463,12
EBBE,N/A,BEAUVECHAIN,BEAUVECHAIN,BELGIUM,50.759,4.768,113
EBBL,N/A,KLEINE BROGEL,KLEINE BROGEL,BELGIUM,51.168,5.471,61
EBBR,BRU,BRUSSELS NATL,BRUSSELS,BELGIUM,50.902,4.499,57
EBBT,N/A,BRAASCHAAT,BRASSCHAAT,BELGIUM,51.333,4.5,22
EBBX,N/A,BERTRIX JEHONVILLE,BERTRIX,BELGIUM,49.887,5.229,462
EBCI,CRL,BRUSSELS SOUTH,CHARLEROI,BELGIUM,50.459,4.454,188
EBCV,N/A,CHIEVRES AB,CHIEVRES,BELGIUM,50.576,3.831,61
EBFN,N/A,KOKSIJDE,KOKSIJDE,BELGIUM,51.09,2.653,7
EBFS,N/A,FLORENNES,FLORENNES,BELGIUM,50.244,4.649,285
